"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.180608292E0,9.373130798E0,4.764513016E1,-4.544738770E0,4.877057165E1
3.190618292E0,9.610557556E0,4.746302032E1,-4.716796875E0,4.865541375E1
3.200627292E0,9.610557556E0,4.746302032E1,-4.716796875E0,4.865541375E1
3.210645458E0,9.459182739E0,4.779946899E1,-4.663482666E0,4.894909034E1
3.220655458E0,9.459182739E0,4.779946899E1,-4.663482666E0,4.894909034E1
3.230665458E0,9.389427185E0,4.789897156E1,-4.562072754E0,4.902331412E1
3.240674458E0,9.389427185E0,4.789897156E1,-4.562072754E0,4.902331412E1
3.250684458E0,9.169578552E0,4.796275711E1,-4.535156250E0,4.904156281E1
3.260694458E0,9.169578552E0,4.796275711E1,-4.535156250E0,4.904156281E1
3.270704458E0,9.286003113E0,4.773060608E1,-4.435333252E0,4.882737748E1
3.280713458E0,9.286003113E0,4.773060608E1,-4.435333252E0,4.882737748E1
3.290723458E0,9.337905884E0,4.784578705E1,-4.403198242E0,4.894695066E1
3.300733458E0,9.337905884E0,4.784578705E1,-4.403198242E0,4.894695066E1
3.310712458E0,8.304855347E0,4.498007965E1,-5.478729248E0,4.606728407E1
3.320722458E0,8.304855347E0,4.498007965E1,-5.478729248E0,4.606728407E1
3.330732458E0,7.907661438E0,4.424492645E1,-5.626678467E0,4.529684467E1
3.340742458E0,7.907661438E0,4.424492645E1,-5.626678467E0,4.529684467E1
3.350751458E0,7.900505066E0,4.414285278E1,-5.625915527E0,4.519580022E1
3.360761458E0,7.900505066E0,4.414285278E1,-5.625915527E0,4.519580022E1
