"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
5.404182083E0,8.659996033E0,3.644532394E1,-9.793457031E0,3.871910342E1
5.414192083E0,8.659996033E0,3.644532394E1,-9.793457031E0,3.871910342E1
5.424196958E0,8.923110962E-1,2.816370010E1,-1.549081421E1,3.215517917E1
5.434206958E0,-1.862167358E0,2.521285629E1,-1.749502563E1,3.074462086E1
5.444215958E0,-1.862167358E0,2.521285629E1,-1.749502563E1,3.074462086E1
5.454225958E0,-2.262084961E0,2.539235687E1,-1.762329102E1,3.099143756E1
5.464204958E0,-2.262084961E0,2.539235687E1,-1.762329102E1,3.099143756E1
5.474214958E0,-2.807270050E0,2.490918350E1,-1.785458374E1,3.077554790E1
5.484224958E0,-2.807270050E0,2.490918350E1,-1.785458374E1,3.077554790E1
5.494234958E0,-2.786300659E0,2.447974396E1,-1.797845459E1,3.049993713E1
5.504243958E0,-2.786300659E0,2.447974396E1,-1.797845459E1,3.049993713E1
5.514253958E0,-2.864658356E0,2.428598785E1,-1.805432129E1,3.039694048E1
5.524263958E0,-2.864658356E0,2.428598785E1,-1.805432129E1,3.039694048E1
5.534273958E0,-2.883277893E0,2.440120316E1,-1.799734497E1,3.045712450E1
5.544283958E0,-2.883277893E0,2.440120316E1,-1.799734497E1,3.045712450E1
5.554262958E0,-2.299713135E0,2.472430420E1,-1.755737305E1,3.041120266E1
5.564272958E0,-2.299713135E0,2.472430420E1,-1.755737305E1,3.041120266E1
5.574281958E0,-2.132850647E0,2.513014984E1,-1.766864014E1,3.079373844E1
5.584291958E0,-2.132850647E0,2.513014984E1,-1.766864014E1,3.079373844E1
5.594301958E0,-2.302566528E0,2.499260712E1,-1.749316406E1,3.059318571E1
5.604311958E0,-2.302566528E0,2.499260712E1,-1.749316406E1,3.059318571E1
5.614320958E0,-2.255760193E0,2.527441788E1,-1.746801758E1,3.080610802E1
5.624330958E0,-2.255760193E0,2.527441788E1,-1.746801758E1,3.080610802E1
5.634340958E0,-2.088905334E0,2.478974915E1,-1.759133911E1,3.046884310E1
5.644319958E0,-2.088905334E0,2.478974915E1,-1.759133911E1,3.046884310E1
5.654329958E0,-2.233520508E0,2.491194916E1,-1.747933960E1,3.051427760E1
5.664339958E0,-2.233520508E0,2.491194916E1,-1.747933960E1,3.051427760E1
5.674348958E0,-2.523658752E0,2.455121613E1,-1.768594360E1,3.036319594E1
5.684358958E0,-2.523658752E0,2.455121613E1,-1.768594360E1,3.036319594E1
5.694368958E0,-2.493171692E0,2.453276825E1,-1.803897095E1,3.055285741E1
5.704378958E0,-2.493171692E0,2.453276825E1,-1.803897095E1,3.055285741E1
